Item code,Item Description,UOM,Bin Location,
0010-44-005-F,"Hyaluronidase 1,500 IU Injection 1mL",EA,8A-1-1015,
0010-72-039-W,"Lidocaine 2%, EpiNEPHrine 1:80,000 Injection 1.8mL",EA,8A-1-1016,
0010-36-025-G,Patent Blue 50mg/2mL Injection,EA,8A-1-1017,
0010-40-050-C,Water For Injection 20mL/25mL,EA,8A-2-1018,
0010-64-003-I,Desferrioxamine 500mg Injection,EA,8A-2-1019,
6158-07-98X-0,Indocyanine Green 25mg Injection (ICG),EA,8A-2-1020,
0010-24-021-I,Sodium Tetradecyl 3% Injection 2mL,EA,8A-2-1021,
0003-96-66X-2,Acetazolamide Sod 500mg Injection,EA,8A-2-1022,
0010-72-024-E,BUPivacaine HCl 0.5% Injection 4mL,EA,8A-2-1023,
0010-08-002-E,Amikacin 500mg/2mL Injection,EA,8A-3-1024,
0010-88-005-F,Phytomenadione 10mg/mL Injection (Vitamin K),EA,8A-3-1025,
0010-24-078-W,NiCARdipine HCl 25mg/10mL Inj,EA,8A-3-1026,
0010-08-093-I,Pentamidine 300mg Injection (Pentacarinet),EA,8A-3-1027,
0010-72-011-C,Lidocaine HCl 2% P/F Injection 20mL,EA,8A-3-1028,
0010-24-035-I,DilTIAZem HCl 10mg Injection,EA,8A-3-1029,
0010-40-025-I,Sodium Chloride 20% Injection 10mL,EA,8A-4-1030,
0023-15-24X-7,Fosfomycin Sodium 4G Injection,EA,8A-4-1031,
0010-08-061-K,CefaZOLin 1g Injection,EA,8A-4-1032,
0010-68-002-W,Triamcinolone Acetate 40mg/mL Injection,EA,8A-4-1033,
0010-08-103-J,Voriconazole 200mg IV Injection (Vfend),EA,8A-4-1034,
0010-24-023-E,Sodium Nitroprusside 50mg Injection,EA,8A-4-1035,
0009-40-025-I,Sodium Bicarbonate 8.4% Injection 250mL,EA,8A-5-1036,
0010-92-123-F,Acetylcysteine 5g/25mL Injection,EA,8A-5-1038,
0010-08-043-W,Vancomycin 500mg Injection,EA,8A-5-1039,
0023-63-73X-7,Remdesivir 100mg  Injection,EA,8A-5-1040,
0010-92-174-K,Sodium Hyaluronate 22mg/mL Inj (Monovisc) 4mL,EA,8A-5-1041,
0010-08-003-C,Ampicillin 500mg Injection,EA,8A-6-1042 to 1045,
0010-08-004-L,Co-Trimoxazole 80/400mg Injection 5mL,EA,8A-6-1046 to 1047,
0009-40-130-G,Smofkabiven with Electrolyte 1L,EA,8A-7-1048 to 1053,
0010-64-001-W,Dimercaprol 100mg/2mL Injection (BAL),EA,8B-1-1054,
0010-24-029-D,Esmolol HCl 100mg/10mL Injection,EA,8B-1-1055,
0010-24-032-D,Flecainide Acetate 150mg/15mL Injection,EA,8B-1-1056,
0005-59-47X-5,Methylthioninium 0.5% Injection 10mL (Meth Blue),EA,8B-1-1057,
0010-92-101-J,Pralidoxime Chloride 500mg/10mL Injection (PAM),EA,8B-1-1058,
0013-40-011-C,Sodium Citrate 4% Anticoagulant Solution 5mL,EA,8B-1-1059,
0010-24-059-C,Metoprolol 5mg/5mL Injection,EA,8B-2-1060,
0010-04-002-C,Promethazine HCl 50mg/2mL Injection,EA,8B-2-1061,
0010-28-058-J,Thiopental Sodium 0.5g Injection,EA,8B-2-1062,
0010-28-051-W,Propofol 200mg/20mL Injection,EA,8B-2-1063,
0010-24-004-I,Digoxin 500mcg/2mL Injection (Lanoxin),EA,8B-2-1065,
0015-67-00X-9,Phenylephrine 500mcg/10ml Injection,EA,8B-3-1066,
0010-12-029-I,DOBUTamine 250mg Injection (5mL/20mL),EA,8B-3-1067,
0009-40-064-J,Fat Emulsion 20% With MCT/LCT 500mL,EA,8B-3-1068,
0010-08-108-K,"Polymyxin B 500,000 U Injection",EA,8B-3-1069,
0010-68-072-C,Levothyroxine Sodium 500mcg Injection,EA,8B-3-1070,
0010-92-005-H,Sodium Nitrite 300mg/10mL Injection,EA,8B-3-1071,
0010-40-014-C,Trace Elements Solution 10mL,EA,8B-4-1072,
0003-96-11X-8,Dexmedetomidine 200mcg/2mL Inj,EA,8B-4-1073,
0010-08-148-W,Isoniazid 500mg Injection,EA,8B-4-1074,
0010-08-180-F,"Imipenem 500mg,Cilastin 500mg Injection",EA,8B-4-1075,
0010-40-012-G,Sodium Chloride 0.9% Injection 20mL,EA,8B-4-1076,
0010-92-011-W,Mesna 400mg/4mL Inj (Uromitrexan),EA,8B-4-1077,
0010-20-040-C,Enoxaparin Sodium 80mg/0.8mL Injection (Clexane),EA,8B-5-1078 to 1079,
0010-40-030-E,"Sodium 2mmol, Phosphate 1mmol Injection 20mL",EA,8B-5-1080 to 1081,
0010-28-057-L,Midazolam 5mg/5mL Injection,EA,8B-5-1082 to 1083,
0009-40-065-H,Gelofusine Infusion 500mL,EA,8B-6-1084,
0009-40-029-L,Sodium Chloride 0.9% Infusion 500mL Bottle,EA,8B-6-1085,
0010-12-041-H,Norepinephrine 4mg/4mL Injection,EA,8B-6-1086 to 1087,
0010-68-006-E,Dexamethasone 4mg/mL P/F Injection,EA,8B-6-1088 to 1089,
0011-40-028-G,Sodium Chloride 0.9% Irrigation 3L,EA,8B-7-1090 to 1091,
0010-40-038-H,Potassium Chloride Premixed 10mmol/100mL WFI,EA,8B-7-1092 to 1093,
0009-40-012-G,"Dextrose 5%, NaCL 0.9% Infusion 500mL",EA,8B-7-1094,
0009-40-062-C,Sodium Chloride 0.9% Injection 100mL Bottle,EA,8B-7-1095,
0010-12-036-L,EpHEDrine Sulphate 30mg/mL Injection,EA,8C-1-1096,
0010-28-006-G,FLUpentixol Decanoate 20mg/mL Injection,EA,8C-1-1097,
0010-72-020-W,Lidocaine HCl 1% P/F Injection 20mL,EA,8C-1-1098,
0010-08-096-C,Artesunate 60mg Injection,EA,8C-1-1099,
0010-28-056-C,Flumazenil 0.5mg/5mL Injection,EA,8C-1-1100,
0010-68-032-D,Sod Iodide 10% Inj,EA,8C-1-1101,
0010-24-052-I,HydrALAzine 20mg/mL Injection,EA,8C-2-1102,
0010-20-036-E,"Urokinase 60,000 IU Injection",EA,8C-2-1103,
0003-96-97X-2,Daptomycin 500mg Injection,EA,8C-2-1104,
0010-08-129-C,Colistin Sulf 1 MIU Inj (Colomycin),EA,8C-2-1105,
0010-68-037-E,Triamcinolone Acetate 50mg/5mL Injection,EA,8C-2-1106,
0010-88-009-I,Cyanocobalamin 10mg/10mL Injection (Vitamin B12),EA,8C-2-1107,
0010-24-066-E,Adenosine 6mg/2mL Injection,EA,8C-3-1108,
0010-20-005-E,Protamine Sulfate 50mg/5mL Injection,EA,8C-3-1109,
0010-08-020-C,Gentamicin Sulfate 80mg/2mL Injection,EA,8C-3-1110,
0010-08-005-J,BENZATHINE Benzylpenicillin 2.4 MU Injection,EA,8C-3-1111,
0010-68-033-W,MethylPREDNISolone Sodium Succinate 1g Injection,EA,8C-3-1112,
0000-90-15X-5,Zoledronic Acid 5MG INF 100mL,EA,8C-3-1113,
0010-28-043-L,Haloperidol 5mg Injection,EA,8C-4-1114,
0010-88-021-H,Multivitamin Concentrated for Infusion (Adult),EA,8C-4-1115,
0010-92-008-W,CicloSPORIN 50mg/mL Injection (Sandimmun),EA,8C-4-1116,
0010-08-038-F,CeftriaXONE Sodium 1g Injection,EA,8C-4-1117,
0010-72-029-F,ROPivacaine HCl 0.2% Injection 200mL (Naropin),EA,8C-4-1118 to 1119,
0010-20-122-E,Iron (Carboxymaltose) 500mg/10mL Injection (Ferinject),EA,8C-5-1120 to 1121,
0010-08-160-H,Clindamycin 300mg/2mL Injection,EA,8C-5-1122 to 1123,
0010-08-045-I,Aciclovir 250mg/10mL Injection,EA,8C-5-1124 to 1125,
0010-08-015-G,Erythromycin Lactobionate 500mg Injection,EA,8C-6-1126 to 1127,
0000-39-00X-5,LevoFLOXacin 500mg/100mL Injection (Fresenius Kabi),EA,8C-6-1128 to 1131,
0000-68-58X-9,Linezolid 600mg/300mL Injection,EA,8C-7-1132 to 1133,
0009-40-019-D,Dextrose 50% Infusion 500mL,EA,8C-7-1134 to 1135,
0010-40-055-I,Potassium Chloride 10mmol/500mL in Dextrose 5,EA,8C-7-1136 to 1137,
0010-72-017-W,BUPivacaine HCl 0.5% Injection 10mL,EA,8D-1-1138,
0010-28-003-W,DiazePAM 10mg/2mL Injection,EA,8D-1-1139,
0010-08-127-G,Azithromycin 500mg Injection (Zithromax),EA,8D-1-1141,
0010-12-019-L,Neostigmine Methylsulfate 2.5mg/mL Injection,EA,8D-1-1142,
0010-12-072-K,Glycopyrrolate 0.2mg/mL Injection,EA,8D-1-1143,
0010-56-003-E,Prochlorperazine 12.5mg/mL Injection,EA,8E-1-1153,
0010-28-066-K,Ketorolac Tromethamine 30mg/mL Injection,EA,8E-1-1154,
0010-24-081-H,Epoprostenol 1.5mg Inj (Veletri),EA,8E-1-1155,
0010-08-107-W,RifAMPicin 600mg Injection,EA,8E-1-1156,
0010-24-034-K,NiMOdipine 10mg/50mL Inj (Nimotop),EA,8E-1-1157,
0010-12-005-L,Atropine Sulfate 600mcg/mL Injection,EA,8E-1-1158,
0003-97-15X-6,ESomeprazole 40mg Injection,EA,8E-2-1159 to 1164,
0010-08-017-C,CeftaZIDIME Pentahydrate 1g Injection,EA,8E-4-1171 to 1175,
0010-68-042-L,Nandrolone 25mg/mL Injection,EA,8E-4-1176,
0010-08-079-C,Ciprofloxacin 200mg/100mL Injection,EA,8E-5-1177 to 1178,
0003-19-42X-3,Sod Valproate 400mg/4mL Injection,EA,8E-5-1179 to 1180,
0010-40-002-J,Calcium Gluconate 10% Injection 10mL,EA,8E-5-1181 to 1182,
0003-97-36X-6,LeveTIRAcetam 500mg/5mL Injection,EA,8E-6-1183 to 1184,
0010-68-049-I,Somatostatin 3mg Injection,EA,8E-6-1185 to 1186,
0010-40-041-C,Potassium Chloride Premixed 20mmol/100mL WFI,EA,8E-6-1187 to 1188,
0009-40-017-H,Dextrose 20% Infusion 500mL,EA,8E-7-1189 to 1190,
0009-40-021-F,Mannitol 20% Injection 250mL,EA,8E-7-1191 to 1192,
0008-52-050-L,Sodium Chloride 0.9% Irrigation 100mL,BTL,8E-7-1193 to 1194,
0010-08-159-K,"Piperacillin 4g, Tazobactam Injection",EA,8F-1-1195,
0010-64-006-G,Calcium Sodium Edetate 500mg/10mL Injection,EA,8F-1-1196,
0010-56-025-E,OMEprazole 40mg Injection,EA,8F-1-1197,
0010-28-048-W,FLUpentixol Decanoate 40mg/2mL Injection,EA,8F-1-1198,
0010-80-119-D,Digitalis Antidote 40mg Injection,EA,8F-1-1199,
0010-04-006-F,DiphenhydrAMINE HCl 50mg/mL Injection,EA,8F-1-1200,
0010-24-011-L,Verapamil HCl 5mg/2mL Injection,EA,8F-2-1201,
0010-08-155-D,Co-Amoxiclav 1.2g Injection,EA,8F-2-1202,
0010-88-028-H,Ascorbic Acid 500mg/5mL Injection,EA,8F-2-1203,
4958-59-96X-1,Milrinone Lact 10mg/10mL Injection,EA,8F-2-1204,
0010-24-016-W,Propranolol HCl 1mg/mL Injection,EA,8F-2-1205,
0010-08-125-K,Foscarnet 6G/250mL Injection,EA,8F-2-1206,
0003-97-62X-9,ROCUronium Br 50mg/5mL Injection,EA,8F-3-1207,
0010-28-094-K,Paracetamol 1g/100mL Injection,EA,8F-3-1212,
0010-72-036-I,"BUPivacaine 0.5%, EpiNEPHrine Injection 10mL",EA,8F-4-1213,
0010-48-001-E,Bromhexine HCl 4mg/2mL Injection,EA,8F-4-1214 to 1216,
0000-72-47X-1,Moxifloxacin HCl 400mg/250mL Infusion,EA,8F-4-1217,
0010-08-117-J,Amphotericin B Liposome 50mg Injection (Ambisome),EA,8F-4-1218,
0010-08-078-E,Aztreonam 1g Injection (Azactam),EA,8F-5-1219 to 1220,
0010-08-166-W,Meropenem 1g Injection,EA,8F-5-1221 to 1222,
0010-88-033-L,Thiamine HCl 100mg/2mL Inj (Vitamin B1),EA,8F-5-1223 to 1224,
